section #,recommendation #,title,status,scoring status,description,rationale statement,remediation procedure,audit procedure,impact statement,CCE-ID,level
1,1.1,"Avoid the use of the ""root"" account",accepted,scored,"The ""root"" account has unrestricted access to all resources in the AWS account. It is highly recommended that the use of this account be avoided.","The ""root"" account is the most privileged AWS account. Minimizing the use of this account and adopting the principle of least privilege for access management will reduce the risk of accidental changes and unintended disclosure of highly privileged credentials.",Follow the remediation instructions of the Ensure IAM policies are attached only to groups or roles recommendation,"Implement the Ensure a log metric filter and alarm exist for usage of ""root"" account recommendation in the Monitoring section of this benchmark to receive notifications of root account usage. Additionally, executing the following commands will provide ad-hoc means for determining the last time the root account was used:
	aws iam generate-credential-report
	aws iam get-credential-report --query 'Content' --output text | base64 -d | cut -d, -f1,5,11,16 | grep -B1 '<root_account>'
	Note: there are a few conditions under which the use of the root account is required, such as requesting a penetration test or creating a CloudFront private key.",,,1
1,1.2,Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password,accepted,scored,"Multi-Factor Authentication (MFA) adds an extra layer of protection on top of a user name and password. With MFA enabled, when a user signs in to an AWS website, they will be prompted for their user name and password as well as for an authentication code from their AWS MFA device. It is recommended that MFA be enabled for all accounts that have a console password.",Enabling MFA provides increased security for console access as it requires the authenticating principal to possess a device that emits a time-sensitive key and have knowledge of a credential.,"<div>Perform the following to enable MFA:</div>
* 
	Sign in to the AWS Management Console and open the IAM console at https://console.aws.amazon.com/iam/ [https://console.aws.amazon.com/iam/].</li>
* 
	In the navigation pane, choose Users.</li>
* 
	In the User Name list, choose the name of the intended MFA user.</li>
* 
	Choose the Security Credentials tab, and then choose Manage MFA Device.</li>
* 
	In the Manage MFA Device wizard, choose A virtual MFA device, and then choose Next Step.
	IAM generates and displays configuration information for the virtual MFA device, including a QR code graphic. The graphic is a representation of the 'secret configuration key' that is available for manual entry on devices that do not support QR codes.</li>
* 
	Open your virtual MFA application. (For a list of apps that you can use for hosting virtual MFA devices, see Virtual MFA Applications [http://aws.amazon.com/iam/details/mfa/#Virtual_MFA_Applications].) If the virtual MFA application supports multiple accounts (multiple virtual MFA devices), choose the option to create a new account (a new virtual MFA device).</li>
* 
	Determine whether the MFA app supports QR codes, and then do one of the following:<div class=""itemizedlist"">
* 
	Use the app to scan the QR code. For example, you might choose the camera icon or choose an option similar to Scan code, and then use the device's camera to scan the code.</li>
* 
	In the Manage MFA Device wizard, choose Show secret key for manual configuration, and then type the secret configuration key into your MFA application.</li>
</div>
	When you are finished, the virtual MFA device starts generating one-time passwords.</li>
* 
	In the Manage MFA Device wizard, in the Authentication Code 1 box, type the one-time password that currently appears in the virtual MFA device. Wait up to 30 seconds for the device to generate a new one-time password. Then type the second one-time password into the Authentication Code 2 box. Choose Active Virtual MFA.</li>
	FORCED IAM USER SELF-SERVICE REMEDIATION
	Amazon has published a pattern that forces users to self-service setup MFA before they have access to their complete permissions set. Until they complete this step, they cannot access their full permissions. This pattern can be used on new AWS accounts. It can also be used on existing accounts - it is recommended users are given instructions and a grace period to accomplish MFA enrollment before active enforcement on existing AWS accounts.
	How to Delegate Management of Multi-Factor Authentication to AWS IAM Users [http://blogs.aws.amazon.com/security/post/Tx2SJJYE082KBUK/How-to-Delegate-Management-of-Multi-Factor-Authentication-to-AWS-IAM-Users]","<div>Perform the following to determine if a MFA device is enabled for all IAM users having a console password:</div><div>Via Management Console</div>
* 
	Open the IAM console at https://console.aws.amazon.com/iam/ [https://console.aws.amazon.com/iam/].</li>
* 
	In the left pane, select Users</li>
* 
	If the MFA Device or Password columns are not visible in the table, click the gear icon at the upper right corner of the table and ensure a checkmark is next to both, then click Close.</li>
* 
	Ensure each user having a checkmark in the Password column also has a value in the MFA Device column.</li>
<div>Via the CLI </div><div>
* Run the following command (OSX/Linux/UNIX) to generate a list of all IAM users along with their password and MFA status:
	aws iam generate-credential-report
	aws iam get-credential-report --query 'Content' --output text | base64 -d | cut -d, -f1,4,8</li>
* The output of this command will produce a table similar to the following:
	user,password_enabled,mfa_active
elise,false,false
brandon,true,true
rakesh,false,false
helene,false,false
paras,true,true
anitha,false,false </li>* For any column having password_enabled set to true, ensure mfa_active is also set to true.
</div>",,CCE-78901-6,1
1,1.3,Ensure credentials unused for 90 days or greater are disabled,accepted,scored,"AWS IAM users can access AWS resources using different types of credentials, such as passwords or access keys. It is recommended that all credentials that have been unused in 90 or greater days be removed or deactivated.",Disabling or removing unnecessary credentials will reduce the window of opportunity for credentials associated with a compromised or abandoned account to be used.,"Perform the following to remove or deactivate credentials:
* Login to the AWS Management Console:
* Click Services
* Click IAM
* Click on Users
* Click on Security Credentials
* As an Administrator
* Click on Make Inactive for credentials that have not been used in 90 Days
</li>
* As an IAM User
* Click on Make Inactive or Delete for credentials which have not been used in 90 Days
</li>","Perform the following to determine if unused credentials exist:
* Login to the AWS Management Console
* Click Services
* Click IAM
* Click on Credential Report
* This will download an .xls file which contains credential usage for all users within an AWS Account - open this file
* For each user having password_enabled set to TRUE, ensure password_last_used is less than 90 days ago.
* For each user having access_key_1_active or access_key_2_active to TRUE, ensure the corresponding access_key_n_last_used_date is less than 90 days ago.
	Via CLI
* Run the following commands:
	aws iam generate-credential-report
aws iam get-credential-report --query 'Content' --output text | base64 -d | cut -d, -f1,9,10,11,14,15,16</li>* For each user having password_enabled set to TRUE, ensure password_last_used_date is less than 90 days ago.
* For each user having an access_key_1_active or access_key_2_active to TRUE, ensure the corresponding access_key_n_last_used_date is less than 90 days ago.",,CCE-78900-8,1
1,1.4,Ensure access keys are rotated every 90 days or less,accepted,scored,"Access keys consist of an access key ID and secret access key, which are used to sign programmatic requests that you make to AWS. AWS users need their own access keys to make programmatic calls to AWS from the AWS Command Line Interface (AWS CLI), Tools for Windows PowerShell, the AWS SDKs, or direct HTTP calls using the APIs for individual AWS services. It is recommended that all access keys be regularly rotated.","Rotating access keys will reduce the window of opportunity for an access key that is associated with a compromised or terminated account to be used. 
	Access keys should be rotated to ensure that data cannot be accessed with an old key which might have been lost, cracked, or stolen.","Perform the following to rotate access keys:
* Login to the AWS Management Console:
* Click Services
* Click IAM
* Click on Users
* Click on Security Credentials
* As an Administrator
* Click on Make Inactive for keys that have not been rotated in 90 Days
</li>
* As an IAM User
* Click on Make Inactive or Delete for keys which have not been rotated or used in 90 Days
</li>* Click on Create Access Key
* Update programmatic call with new Access Key credentials
	Via CLI
	aws iam update-access-key
aws iam create-access-key
aws iam delete-access-key","Perform the following to determine if access keys are rotated as prescribed:
* Login to the AWS Management Console
* Click Services
* Click IAM
* Click on Credential Report
* This will download an .xls file which contains Access Key usage for all IAM users within an AWS Account - open this file
* Focus on the following columns (where x = 1 or 2)
* access_key_X_active
* access_key_X_last_rotated
* access_key_X_last_used_date
</li>* Ensure all active keys have been rotated within 90 days
* Ensure all active keys have been used since last rotation
* Keys not in-use since last rotation should be disabled/deleted
</li>
	Via CLI
	aws iam generate-credential-report
aws iam get-credential-report --query 'Content' --output text | base64 -d",,CCE-78902-4,1
1,1.5,Ensure IAM password policy requires at least one uppercase letter,accepted,scored,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure password are comprised of different character sets. It is recommended that the password policy require at least one uppercase letter.",Setting a password complexity policy increases account resiliency against brute force login attempts.,"Perform the following to set the password policy as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Check ""Requires at least one uppercase letter""
* Click ""Apply password policy""
	Via CLI
	 aws iam update-account-password-policy --require-uppercase-characters
	Note: All commands starting with ""aws iam update-account-password-policy"" can be combined into a single command.","Perform the following to ensure the password policy is configured as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Ensure ""Requires at least one uppercase letter"" is checked under ""Password Policy""
	Via CLI
	aws iam get-account-password-policy 
Ensure the output of the above command includes ""RequireUppercaseCharacters"": true",,CCE-78903-2,1
1,1.6,Ensure IAM password policy require at least one lowercase letter,accepted,scored,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure password are comprised of different character sets. It is recommended that the password policy require at least one lowercase letter.",Setting a password complexity policy increases account resiliency against brute force login attempts.,"Perform the following to set the password policy as prescribed:
	Via the AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Check ""Requires at least one lowercase letter""
* Click ""Apply password policy""
	Via CLI 
	 aws iam update-account-password-policy --require-lowercase-characters
	Note: All commands starting with ""aws iam update-account-password-policy"" can be combined into a single command.","Perform the following to ensure the password policy is configured as prescribed:
	Via the AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Ensure ""Requires at least one lowercase letter"" is checked under ""Password Policy""
	Via CLI
	aws iam get-account-password-policy 
Ensure the output of the above command includes ""RequireLowercaseCharacters"": true",,CCE-78904-0,1
1,1.7,Ensure IAM password policy require at least one symbol,accepted,scored,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure password are comprised of different character sets. It is recommended that the password policy require at least one symbol.",Setting a password complexity policy increases account resiliency against brute force login attempts.,"Perform the following to set the password policy as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Check ""Require at least one non-alphanumeric character""
* Click ""Apply password policy""
	 Via CLI 
	 aws iam update-account-password-policy --require-symbols
	Note: All commands starting with ""aws iam update-account-password-policy"" can be combined into a single command.","Perform the following to ensure the password policy is configured as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Ensure ""Require at least one non-alphanumeric character"" is checked under ""Password Policy""
	Via CLI
	aws iam get-account-password-policy 
Ensure the output of the above command includes ""RequireSymbols"": true",,CCE-78905-7,1
1,1.8,Ensure IAM password policy require at least one number,accepted,scored,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure password are comprised of different character sets. It is recommended that the password policy require at least one number.",Setting a password complexity policy increases account resiliency against brute force login attempts.,"Perform the following to set the password policy as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Check ""Require at least one number""
* Click ""Apply password policy""
	 Via CLI 
	 aws iam update-account-password-policy --require-numbers
	Note: All commands starting with ""aws iam update-account-password-policy"" can be combined into a single command.","Perform the following to ensure the password policy is configured as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Ensure ""Require at least one number "" is checked under ""Password Policy""
	Via CLI
	aws iam get-account-password-policy 
Ensure the output of the above command includes ""RequireNumbers"": true",,CCE-78906-5,1
1,1.9,Ensure IAM password policy requires minimum length of 14 or greater,accepted,scored,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure password are at least a given length. It is recommended that the password policy require a minimum password length 14.",Setting a password complexity policy increases account resiliency against brute force login attempts.,"Perform the following to set the password policy as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Set ""Minimum password length"" to 14 or greater.
* Click ""Apply password policy""
	 Via CLI
	 aws iam update-account-password-policy --minimum-password-length 14
	Note: All commands starting with ""aws iam update-account-password-policy"" can be combined into a single command.","Perform the following to ensure the password policy is configured as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Ensure ""Minimum password length"" is set to 14 or greater.
	Via CLI
	aws iam get-account-password-policy 
Ensure the output of the above command includes ""MinimumPasswordLength"": 14 (or higher)",,CCE-78907-3,1
1,1.10,Ensure IAM password policy prevents password reuse,accepted,scored,IAM password policies can prevent the reuse of a given password by the same user. It is recommended that the password policy prevent the reuse of passwords.,Preventing password reuse increases account resiliency against brute force login attempts.,"Perform the following to set the password policy as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Check ""Prevent password reuse""
* Set ""Number of passwords to remember"" is set to 24
	 Via CLI 
	 aws iam update-account-password-policy --password-reuse-prevention 24
	Note: All commands starting with ""aws iam update-account-password-policy"" can be combined into a single command.","Perform the following to ensure the password policy is configured as prescribed:
	Via AWS Console
* Login to AWS Console (with appropriate permissions to View Identity Access Management Account Settings)
* Go to IAM Service on the AWS Console
* Click on Account Settings on the Left Pane
* Ensure ""Prevent password reuse"" is checked
* Ensure ""Number of passwords to remember"" is set to 24
	Via CLI
	aws iam get-account-password-policy 
Ensure the output of the above command includes ""PasswordReusePrevention"": 24",,CCE-78908-1,1
